Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1u,
"C3, C6, C7, C8, C9",0402,5,100n,
C4,0402,1,4.7u,
C5,0402,1,10u,
"CH1, CH2",SW_choc_v1_1u,2,choc_v1_SW_solder,
J1,CONN_480370001_MOL,1,USB_A,
"LED1, LED2",LED_choc_6028R,2,choc_SK6812MINI-E,
"LED3, LED4",LED_6028R,2,SK6812MINI-E,
R1,0402,1,47,
TP1,TestPoint_Pad_D1.0mm,1,SWDIO,
TP2,TestPoint_Pad_D1.0mm,1,SWCLK,
TP3,TestPoint_Pad_D1.0mm,1,NRST,
TP4,TestPoint_Pad_D1.0mm,1,3V3,
TP5,TestPoint_Pad_D1.0mm,1,GND,
U1,QFN-28_4x4mm_P0.5mm,1,STM32C071G8Ux,C44521811
U2,SOT-23-3,1,XC6206PxxxMR,C347376
U3,SOT-23-6,1,USBLC6-2SC6,C2687116
U4,SOT-23-5,1,74AHCT1G125,C7484
