Designator,Mid X,Mid Y,Rotation,Layer
C1,130.93,-33.03,0.0,bottom
C2,135.86,-33.06,180.0,bottom
C3,149.87,-29.13,180.0,bottom
C4,150.4,-30.5,90.0,bottom
C5,157.31,-28.22,0.0,bottom
C6,163.19,-20.79,270.0,bottom
C7,162.74,-32.34,0.0,bottom
C8,159.52,-29.76,0.0,bottom
C9,138.79,-23.06,0.0,bottom
CH1,134.4,-25.5,270.0,top
CH2,153.45,-25.5,270.0,top
J1,127.056299,-25.500001,270.0,top
LED1,141.7,-25.5,90.0,bottom
LED2,160.75,-25.5,90.0,bottom
LED3,167.45,-30.8,180.0,bottom
LED4,167.45,-20.2,0.0,bottom
R1,145.83,-20.35,90.0,bottom
TP1,139.36,-20.01,180.0,bottom
TP2,144.36,-20.01,180.0,bottom
TP3,152.81,-30.93,0.0,bottom
TP4,152.81,-27.23,0.0,bottom
TP5,149.36,-20.01,180.0,bottom
U1,146.3325,-29.82,90.0,bottom
U2,132.89,-32.02,180.0,bottom
U3,132.92,-28.6225,0.0,bottom
U4,146.915,-22.98,180.0,bottom
